state,race,year,count,population,crude_rate_100k
West Virginia,White,2000,66,430244,15.340000000000002
Wisconsin,Black or African American,2000,18,139038,12.950000000000001
Wisconsin,White,2000,230,1329556,17.3
Wyoming,Asian or Pacific Islander,2000,0,995,0
Wyoming,Black or African American,2000,0,1944,0
Wyoming,White,2000,20,137268,14.57
Alabama,American Indian or Alaska Native,2001,0,8385,0
Alabama,Black or African American,2001,49,408308,12
Alabama,White,2001,125,821836,15.21
Alaska,White,2001,19,138489,13.719999999999999
Arizona,American Indian or Alaska Native,2001,17,121829,13.950000000000001
Arizona,White,2001,236,1314450,17.95
Arkansas,Black or African American,2001,18,161183,11.170000000000002
Arkansas,White,2001,104,580687,17.91
California,American Indian or Alaska Native,2001,16,182822,8.75
California,Asian or Pacific Islander,2001,172,1200741,14.32
California,Black or African American,2001,102,889488,11.47
California,White,2001,1425,8040829,17.72
Colorado,White,2001,189,1126091,16.78
Connecticut,American Indian or Alaska Native,2001,0,4664,0
Connecticut,Black or African American,2001,17,129284,13.15
Connecticut,White,2001,156,771130,20.230000000000004
Delaware,American Indian or Alaska Native,2001,0,1129,0
Delaware,Asian or Pacific Islander,2001,0,5489,0
Delaware,White,2001,32,155698,20.55
District of Columbia,American Indian or Alaska Native,2001,0,585,0
District of Columbia,Asian or Pacific Islander,2001,0,3134,0
Florida,American Indian or Alaska Native,2001,0,22242,0
Florida,Black or African American,2001,130,937453,13.87
Florida,White,2001,607,3067817,19.790000000000003
Georgia,American Indian or Alaska Native,2001,0,9231,0
Georgia,Black or African American,2001,93,869655,10.690000000000001
Georgia,White,2001,288,1519547,18.95
Hawaii,American Indian or Alaska Native,2001,0,1361,0
Hawaii,Asian or Pacific Islander,2001,42,258282,16.26
Hawaii,White,2001,17,54851,30.99
Idaho,Asian or Pacific Islander,2001,0,4941,0
Idaho,Black or African American,2001,0,4125,0
Idaho,White,2001,83,401448,20.680000000000003
Illinois,Asian or Pacific Islander,2001,21,132941,15.8
Illinois,Black or African American,2001,90,697771,12.9
Illinois,White,2001,473,2755454,17.169999999999998
Indiana,American Indian or Alaska Native,2001,0,6621,0
Indiana,Black or African American,2001,33,202273,16.31
Indiana,White,2001,271,1536785,17.630000000000003
Iowa,American Indian or Alaska Native,2001,0,4455,0
Iowa,Asian or Pacific Islander,2001,0,13980,0
Iowa,White,2001,138,774127,17.830000000000002
Kansas,White,2001,117,703463,16.630000000000003
Kentucky,American Indian or Alaska Native,2001,0,2792,0
Kentucky,White,2001,193,986419,19.57
Louisiana,American Indian or Alaska Native,2001,0,10362,0
Louisiana,Black or African American,2001,63,545962,11.540000000000001
Louisiana,White,2001,133,773703,17.19
Maine,American Indian or Alaska Native,2001,0,3087,0
Maine,Asian or Pacific Islander,2001,0,3910,0
Maine,White,2001,60,323709,18.540000000000003
Maryland,American Indian or Alaska Native,2001,0,6669,0
Maryland,Black or African American,2001,34,510427,6.66
Maryland,White,2001,129,921501,14
Massachusetts,Black or African American,2001,19,159942,11.88
Massachusetts,White,2001,232,1433176,16.19
Michigan,Black or African American,2001,59,531653,11.100000000000001
Michigan,White,2001,454,2255509,20.130000000000003
Minnesota,White,2001,243,1257088,19.330000000000002
Missouri,American Indian or Alaska Native,2001,0,10460,0
Missouri,Black or African American,2001,21,242148,8.67
Missouri,White,2001,197,1318090,14.950000000000001
Montana,Asian or Pacific Islander,2001,0,2046,0
Montana,Black or African American,2001,0,2244,0
Montana,White,2001,37,225590,16.400000000000002
Nebraska,American Indian or Alaska Native,2001,0,7885,0
Nebraska,White,2001,82,456868,17.95
Nevada,American Indian or Alaska Native,2001,0,11871,0
Nevada,White,2001,97,481008,20.17
New Hampshire,American Indian or Alaska Native,2001,0,1258,0
New Hampshire,Asian or Pacific Islander,2001,0,6022,0
New Hampshire,Black or African American,2001,0,5191,0
New Hampshire,White,2001,62,335340,18.490000000000002
New Jersey,American Indian or Alaska Native,2001,0,10365,0
New Jersey,Asian or Pacific Islander,2001,30,158210,18.96
New Jersey,Black or African American,2001,59,418955,14.080000000000002
New Jersey,White,2001,371,1715718,21.62
New Mexico,White,2001,87,458255,18.990000000000002
New York,Asian or Pacific Islander,2001,54,316491,17.06
New York,Black or African American,2001,145,1147878,12.63
New York,White,2001,707,3683623,19.19
North Carolina,Black or African American,2001,78,608234,12.82
North Carolina,White,2001,248,1547924,16.02
North Dakota,Asian or Pacific Islander,2001,0,1420,0
North Dakota,White,2001,27,162111,16.66
Ohio,Black or African American,2001,59,498838,11.83
Ohio,White,2001,426,2646531,16.1
Oklahoma,American Indian or Alaska Native,2001,22,128032,17.180000000000003
Oklahoma,White,2001,123,744489,16.52
Oregon,White,2001,146,857357,17.03
Pennsylvania,American Indian or Alaska Native,2001,0,8584,0
Pennsylvania,Black or African American,2001,65,460867,14.100000000000001
Pennsylvania,White,2001,485,2712040,17.880000000000003
Rhode Island,American Indian or Alaska Native,2001,0,2853,0
Rhode Island,Black or African American,2001,0,26614,0
Rhode Island,White,2001,56,243476,23
South Carolina,American Indian or Alaska Native,2001,0,5270,0
South Carolina,Black or African American,2001,40,421288,9.49
South Carolina,White,2001,118,701177,16.830000000000002
South Dakota,Asian or Pacific Islander,2001,0,1822,0
South Dakota,Black or African American,2001,0,3313,0
South Dakota,White,2001,26,189230,13.740000000000002
Tennessee,American Indian or Alaska Native,2001,0,5176,0
Tennessee,Black or African American,2001,51,342781,14.880000000000003
Tennessee,White,2001,189,1197121,15.790000000000001
Texas,Asian or Pacific Islander,2001,32,200631,15.950000000000001
Texas,Black or African American,2001,102,893979,11.41
Texas,White,2001,1099,5499808,19.980000000000004
Utah,White,2001,129,769844,16.76
Vermont,American Indian or Alaska Native,2001,0,1002,0
Vermont,Asian or Pacific Islander,2001,0,2119,0
Vermont,Black or African American,2001,0,2153,0
Vermont,White,2001,32,160983,19.880000000000003
Virginia,American Indian or Alaska Native,2001,0,8210,0
Virginia,Black or African American,2001,39,481246,8.1
Virginia,White,2001,200,1384834,14.440000000000001
Washington,Asian or Pacific Islander,2001,19,119734,15.87
Washington,White,2001,268,1431163,18.73
West Virginia,American Indian or Alaska Native,2001,0,933,0
West Virginia,White,2001,71,423098,16.78
Wisconsin,White,2001,242,1326934,18.240000000000002
Wyoming,Asian or Pacific Islander,2001,0,1073,0
Wyoming,Black or African American,2001,0,2067,0
Wyoming,White,2001,20,134494,14.87
Alabama,Asian or Pacific Islander,2002,0,11619,0
Alabama,Black or African American,2002,47,405826,11.58
Alabama,White,2002,142,818492,17.35
Alaska,White,2002,27,137906,19.580000000000002
Arizona,White,2002,246,1336197,18.41
Arkansas,American Indian or Alaska Native,2002,0,7172,0
Arkansas,White,2002,77,579773,13.280000000000001
California,American Indian or Alaska Native,2002,19,186816,10.170000000000002
California,Asian or Pacific Islander,2002,167,1219460,13.690000000000001
California,Black or African American,2002,110,888060,12.39
California,White,2002,1476,8060567,18.31
Colorado,White,2002,185,1135052,16.3
Connecticut,American Indian or Alaska Native,2002,0,4874,0
Connecticut,Black or African American,2002,18,130899,13.75
Connecticut,White,2002,148,773597,19.130000000000003
Delaware,American Indian or Alaska Native,2002,0,1207,0
Delaware,White,2002,25,155646,16.06
District of Columbia,American Indian or Alaska Native,2002,0,621,0
District of Columbia,Asian or Pacific Islander,2002,0,3283,0
Florida,Black or African American,2002,134,954485,14.040000000000001
Florida,White,2002,622,3112490,19.980000000000004
Georgia,American Indian or Alaska Native,2002,0,10212,0
Georgia,Black or African American,2002,109,882394,12.350000000000001
Georgia,White,2002,278,1535153,18.11
Hawaii,American Indian or Alaska Native,2002,0,1462,0
Hawaii,Asian or Pacific Islander,2002,29,258197,11.23
Idaho,Black or African American,2002,0,4552,0
Idaho,White,2002,82,403179,20.340000000000003
Illinois,Asian or Pacific Islander,2002,21,136511,15.380000000000003
Illinois,Black or African American,2002,83,693025,11.98
Illinois,White,2002,470,2746403,17.11
Indiana,American Indian or Alaska Native,2002,0,6943,0
Indiana,Black or African American,2002,22,205523,10.700000000000001
Indiana,White,2002,295,1529048,19.290000000000003
Iowa,American Indian or Alaska Native,2002,0,4635,0
Iowa,White,2002,146,765119,19.080000000000002
Kansas,American Indian or Alaska Native,2002,0,12244,0
Kansas,White,2002,126,699350,18.02
Kentucky,American Indian or Alaska Native,2002,0,2856,0
Kentucky,White,2002,173,984205,17.580000000000002
Louisiana,American Indian or Alaska Native,2002,0,10569,0
Louisiana,Black or African American,2002,67,542957,12.340000000000002
Louisiana,White,2002,128,765616,16.72
Maine,American Indian or Alaska Native,2002,0,3152,0
Maine,Asian or Pacific Islander,2002,0,4083,0
Maine,White,2002,62,321785,19.27
Maryland,American Indian or Alaska Native,2002,0,7189,0
Maryland,Black or African American,2002,54,516947,10.450000000000001
Maryland,White,2002,156,924725,16.87
Massachusetts,Black or African American,2002,17,163062,10.43
Massachusetts,White,2002,235,1427485,16.46
Michigan,Black or African American,2002,68,531654,12.790000000000001
Michigan,White,2002,455,2241795,20.3
Minnesota,White,2002,219,1246164,17.57
Missouri,American Indian or Alaska Native,2002,0,10485,0
Missouri,Black or African American,2002,28,243248,11.51
Missouri,White,2002,211,1312490,16.080000000000002
Montana,Black or African American,2002,0,2441,0
Montana,White,2002,42,222423,18.880000000000003
Nebraska,Asian or Pacific Islander,2002,0,8968,0
Nebraska,White,2002,76,454830,16.71
Nevada,White,2002,75,492824,15.219999999999999
New Hampshire,American Indian or Alaska Native,2002,0,1276,0
New Hampshire,Asian or Pacific Islander,2002,0,6572,0
New Hampshire,White,2002,55,335476,16.39
New Jersey,American Indian or Alaska Native,2002,0,11208,0
New Jersey,Asian or Pacific Islander,2002,24,165565,14.5
New Jersey,Black or African American,2002,58,420338,13.8
New Jersey,White,2002,333,1721643,19.340000000000003
New Mexico,White,2002,91,457296,19.900000000000002
New York,Asian or Pacific Islander,2002,50,323640,15.450000000000001
New York,Black or African American,2002,148,1136307,13.02
New York,White,2002,695,3669582,18.94
North Carolina,Black or African American,2002,63,615607,10.23
North Carolina,White,2002,266,1570635,16.94
North Dakota,Asian or Pacific Islander,2002,0,1492,0
North Dakota,Black or African American,2002,0,2787,0
North Dakota,White,2002,19,158428,11.990000000000002
Ohio,American Indian or Alaska Native,2002,0,10225,0
Ohio,Black or African American,2002,50,502004,9.96
Ohio,White,2002,449,2623365,17.12
Oklahoma,American Indian or Alaska Native,2002,26,129591,20.060000000000002
Oklahoma,Black or African American,2002,16,107693,14.86
Oklahoma,White,2002,108,740520,14.580000000000002
Oregon,White,2002,158,856849,18.44
Pennsylvania,American Indian or Alaska Native,2002,0,9326,0
Pennsylvania,Asian or Pacific Islander,2002,16,78574,20.36
Pennsylvania,Black or African American,2002,64,465402,13.75
Pennsylvania,White,2002,512,2694087,19
Rhode Island,American Indian or Alaska Native,2002,0,3046,0
Rhode Island,White,2002,40,243358,16.44
South Carolina,American Indian or Alaska Native,2002,0,5563,0
South Carolina,Black or African American,2002,49,418735,11.700000000000001
South Carolina,White,2002,125,707324,17.669999999999998
South Dakota,Black or African American,2002,0,3702,0
South Dakota,White,2002,33,186201,17.72
Tennessee,American Indian or Alaska Native,2002,0,5427,0
Tennessee,Black or African American,2002,37,345446,10.71
Tennessee,White,2002,186,1198391,15.52
Texas,Asian or Pacific Islander,2002,24,210630,11.39
Texas,Black or African American,2002,99,905530,10.93
Texas,White,2002,1028,5556033,18.5
Utah,White,2002,140,772707,18.12
Vermont,American Indian or Alaska Native,2002,0,962,0
Vermont,Asian or Pacific Islander,2002,0,2228,0
Vermont,White,2002,41,159829,25.650000000000002
Virginia,Black or African American,2002,55,484195,11.36
Virginia,White,2002,233,1396146,16.69
Washington,Asian or Pacific Islander,2002,16,122884,13.02
Washington,White,2002,281,1425504,19.71
West Virginia,American Indian or Alaska Native,2002,0,912,0
West Virginia,Asian or Pacific Islander,2002,0,3022,0
West Virginia,White,2002,76,419951,18.1
Wisconsin,American Indian or Alaska Native,2002,0,22055,0
Wisconsin,White,2002,231,1320417,17.490000000000002
Wyoming,American Indian or Alaska Native,2002,0,5305,0
Wyoming,Asian or Pacific Islander,2002,0,1110,0
Alabama,Asian or Pacific Islander,2003,0,12259,0
Alabama,Black or African American,2003,48,403603,11.89
Alabama,White,2003,122,818042,14.91
Alaska,Black or African American,2003,0,11733,0
Alaska,White,2003,28,136365,20.53
Arizona,American Indian or Alaska Native,2003,20,125297,15.96
Arizona,White,2003,204,1358737,15.01
Arkansas,American Indian or Alaska Native,2003,0,7324,0
Arkansas,Black or African American,2003,34,159507,21.32
Arkansas,White,2003,103,580862,17.73
California,Asian or Pacific Islander,2003,160,1242327,12.880000000000003
California,Black or African American,2003,107,887303,12.06
California,White,2003,1331,8085205,16.46
Colorado,White,2003,222,1139112,19.490000000000002
Connecticut,American Indian or Alaska Native,2003,0,5251,0
Connecticut,Black or African American,2003,16,132475,12.08
Connecticut,White,2003,163,773100,21.080000000000002
Delaware,American Indian or Alaska Native,2003,0,1316,0
Delaware,White,2003,32,155546,20.57
District of Columbia,American Indian or Alaska Native,2003,0,622,0
Florida,Black or African American,2003,139,969739,14.330000000000002
Florida,White,2003,600,3152499,19.03
Georgia,Black or African American,2003,112,895379,12.51
Georgia,White,2003,249,1549587,16.07
Hawaii,Asian or Pacific Islander,2003,30,259093,11.58
Hawaii,Black or African American,2003,0,12569,0
Idaho,Black or African American,2003,0,4934,0
Idaho,White,2003,88,405415,21.71
Illinois,Black or African American,2003,71,687764,10.32
Illinois,White,2003,476,2733667,17.41
Indiana,American Indian or Alaska Native,2003,0,7208,0
Indiana,Black or African American,2003,25,209110,11.96
Indiana,White,2003,256,1526761,16.77
Iowa,White,2003,125,759397,16.46
Kansas,White,2003,113,696078,16.23
Kentucky,American Indian or Alaska Native,2003,0,2884,0
Kentucky,Black or African American,2003,16,112394,14.240000000000002
Kentucky,White,2003,160,985432,16.240000000000002
Louisiana,American Indian or Alaska Native,2003,0,10679,0
Louisiana,Black or African American,2003,68,540776,12.57
Louisiana,White,2003,136,760445,17.880000000000003
Maine,Asian or Pacific Islander,2003,0,4244,0
Maine,White,2003,60,319984,18.75
Maryland,American Indian or Alaska Native,2003,0,7630,0
Maryland,Black or African American,2003,59,522800,11.290000000000001
Maryland,White,2003,164,922776,17.77
Massachusetts,Black or African American,2003,17,165897,10.25
Massachusetts,White,2003,264,1416530,18.64
Michigan,Black or African American,2003,71,531552,13.36
Michigan,White,2003,404,2227831,18.130000000000003
Minnesota,White,2003,201,1236348,16.26
Mississippi,Asian or Pacific Islander,2003,0,7062,0
Mississippi,Black or African American,2003,54,383038,14.100000000000001
Mississippi,White,2003,76,455984,16.669999999999998
Missouri,American Indian or Alaska Native,2003,0,10649,0
Missouri,Black or African American,2003,32,244763,13.07
Missouri,White,2003,211,1308585,16.12
Montana,Asian or Pacific Islander,2003,0,2057,0
Montana,White,2003,36,220779,16.31
Nebraska,White,2003,81,453142,17.880000000000003
Nevada,White,2003,74,504829,14.66
New Hampshire,American Indian or Alaska Native,2003,0,1310,0
New Hampshire,White,2003,69,333759,20.67
New Jersey,American Indian or Alaska Native,2003,0,12073,0
New Jersey,Asian or Pacific Islander,2003,17,172351,9.86
New Jersey,Black or African American,2003,67,421637,15.89
New Jersey,White,2003,344,1724245,19.950000000000003
New Mexico,White,2003,74,455647,16.240000000000002
New York,Asian or Pacific Islander,2003,39,330298,11.81
New York,Black or African American,2003,144,1121812,12.840000000000002
New York,White,2003,692,3646625,18.98
