state,year,count,population,crude_rate_100k
Virginia,2005,341,2033460,16.77
Washington,2005,335,1698371,19.72
West Virginia,2005,72,439884,16.37
Wisconsin,2005,278,1517031,18.330000000000002
Wyoming,2005,20,140105,14.280000000000001
Alabama,2006,186,1259673,14.77
Alaska,2006,36,205868,17.490000000000002
Arizona,2006,298,1745335,17.07
Arkansas,2006,119,776646,15.32
California,2006,1768,10426324,16.96
Colorado,2006,210,1305551,16.09
Connecticut,2006,155,935104,16.580000000000002
Delaware,2006,45,229456,19.61
District of Columbia,2006,16,126846,12.61
Florida,2006,818,4495577,18.2
Georgia,2006,439,2669592,16.44
Hawaii,2006,46,332764,13.82
Idaho,2006,80,449429,17.8
Illinois,2006,592,3537020,16.740000000000002
Indiana,2006,305,1790845,17.03
Iowa,2006,117,812182,14.41
Kansas,2006,146,789101,18.5
Kentucky,2006,169,1126137,15.01
Louisiana,2006,183,1209304,15.130000000000003
Maine,2006,64,325899,19.64
Maryland,2006,232,1532167,15.14
Massachusetts,2006,346,1644388,21.040000000000003
Michigan,2006,502,2796852,17.95
Minnesota,2006,247,1430719,17.26
Mississippi,2006,129,846218,15.240000000000002
Missouri,2006,251,1596872,15.719999999999999
Montana,2006,44,250037,17.6
Nebraska,2006,86,503694,17.07
Nevada,2006,126,695646,18.11
New Hampshire,2006,70,343282,20.39
New Jersey,2006,443,2320362,19.09
New Mexico,2006,81,564480,14.350000000000001
New York,2006,959,5001918,19.169999999999998
North Carolina,2006,415,2420033,17.150000000000002
North Dakota,2006,29,170222,17.040000000000003
Ohio,2006,543,3128181,17.36
Oklahoma,2006,208,1001264,20.77
Oregon,2006,187,956786,19.540000000000003
Pennsylvania,2006,634,3223047,19.67
Rhode Island,2006,47,274986,17.09
South Carolina,2006,199,1182215,16.830000000000002
South Dakota,2006,30,221597,13.540000000000001
Tennessee,2006,253,1634569,15.480000000000002
Texas,2006,1352,7146953,18.919999999999998
Utah,2006,153,876494,17.46
Vermont,2006,34,157896,21.53
Virginia,2006,330,2046587,16.12
Washington,2006,305,1713930,17.8
West Virginia,2006,65,439691,14.780000000000001
Wisconsin,2006,269,1513469,17.77
Wyoming,2006,23,141210,16.290000000000003
Alabama,2007,210,1267999,16.56
Alaska,2007,34,204645,16.61
Arizona,2007,302,1785103,16.919999999999998
Arkansas,2007,144,782997,18.39
California,2007,1889,10419053,18.130000000000003
Colorado,2007,231,1323445,17.45
Connecticut,2007,169,930555,18.16
Delaware,2007,38,231779,16.39
District of Columbia,2007,18,125451,14.350000000000001
Florida,2007,854,4520513,18.89
Georgia,2007,472,2729049,17.3
Hawaii,2007,53,333499,15.89
Idaho,2007,83,460456,18.03
Illinois,2007,630,3531290,17.84
Indiana,2007,341,1800421,18.94
Iowa,2007,150,814834,18.41
Kansas,2007,142,794777,17.87
Kentucky,2007,208,1133012,18.36
Louisiana,2007,194,1229822,15.77
Maine,2007,56,322741,17.35
Maryland,2007,240,1527590,15.71
Massachusetts,2007,289,1637403,17.650000000000002
Michigan,2007,539,2765779,19.490000000000002
Minnesota,2007,251,1433925,17.5
Mississippi,2007,115,852442,13.490000000000002
Missouri,2007,226,1602212,14.11
Montana,2007,24,250912,9.57
Nebraska,2007,85,504876,16.84
Nevada,2007,115,718348,16.01
New Hampshire,2007,65,339591,19.14
New Jersey,2007,428,2310920,18.52
New Mexico,2007,93,568165,16.37
New York,2007,954,4965536,19.21
North Carolina,2007,452,2480165,18.22
North Dakota,2007,34,169876,20.01
Ohio,2007,484,3118812,15.52
Oklahoma,2007,194,1011828,19.169999999999998
Oregon,2007,214,964328,22.19
Pennsylvania,2007,655,3217880,20.36
Rhode Island,2007,38,271011,14.02
South Carolina,2007,195,1200413,16.240000000000002
South Dakota,2007,32,223026,14.350000000000001
Tennessee,2007,265,1652684,16.03
Texas,2007,1347,7276869,18.51
Utah,2007,167,903708,18.48
Vermont,2007,29,155971,18.59
Virginia,2007,351,2057072,17.06
Washington,2007,320,1729590,18.5
West Virginia,2007,81,439891,18.41
Wisconsin,2007,277,1512810,18.31
Wyoming,2007,25,144357,17.32
Alabama,2008,208,1276607,16.290000000000003
Alaska,2008,36,204039,17.64
Arizona,2008,279,1814820,15.37
Arkansas,2008,117,788595,14.840000000000002
California,2008,1933,10448668,18.5
Colorado,2008,229,1341086,17.080000000000002
Connecticut,2008,173,926767,18.669999999999998
Delaware,2008,57,233768,24.380000000000003
District of Columbia,2008,26,124867,20.82
Florida,2008,887,4527628,19.590000000000003
Georgia,2008,470,2763796,17.01
Hawaii,2008,56,335167,16.71
